customer_id,registration_date,age,gender,location,account_type,login_frequency,transaction_count,avg_transaction_amount,total_spent,customer_service_interaction_count,churn
195e335a-55e4-4a58-8f61-f6a7d84e5e44,2021-08-13,53,,Charlesville,,15,182,406.18,73924.76,0,0
a4f4a90f-de70-40d8-9439-b30dd0a94845,2021-07-22,40,Male,New Scott,,26,69,734.02,50647.38,4,0
bed73351-9cd9-4d53-9503-3bdc565544ec,2023-11-27,68,,Josephfort,,16,273,567.67,154973.91,1,0
f61f3e23-2d11-42a8-9999-c4216fca0ad2,2022-06-23,31,Male,Linland,,8,34,212.31,7218.54,1,0
c2d03f83-27f8-4acb-979b-e4293a435c4f,2023-12-03,20,Male,North Lindamouth,checking,5,468,754.4,353059.2,8,0
811b617c-fe0f-4f46-8777-d1b4ae605c1e,2020-02-16,36,,Darrellshire,checking,20,35,283.09,9908.15,5,1
33c06f05-b223-468c-b997-b488ecc933e8,2025-04-14,29,Male,Thompsonchester,savings,24,474,850.18,402985.32,8,0
ea77557b-50f9-4d57-bb03-612d80a299fc,2024-07-13,29,,Lake Melody,checking,16,83,774.45,64279.35,0,0
0eced599-1cb4-4a94-a7e0-be33b94dd966,2021-10-19,18,,Michaelshire,,20,366,340.94,124784.04,3,1
5e703312-d1d4-4445-a4cd-fbd020e3299d,2021-11-10,31,Female,Jonathanfort,loan,14,111,487.73,54138.03,3,0
06ab85d2-764b-4b16-8217-98293dad15d2,2022-12-11,63,,New Timothy,checking,21,261,607.73,158617.53,1,0
ded77379-c91e-45ba-9320-accc5527d347,2021-12-06,65,,Ryanberg,checking,8,311,653.07,203104.77,7,0
5c56d132-bdc9-4932-99ba-845576c07d7c,2025-05-09,58,Male,New Dennischester,loan,9,250,927.76,231940.0,4,0
5b71ca25-0916-4c5e-a2e1-6adf92a2c5f5,2024-06-24,45,,Cameronburgh,,12,281,551.34,154926.54,5,0
b8327631-b833-4958-baaa-d50759cb3bfe,2021-10-29,57,,East Thomas,loan,24,472,756.1,356879.2,6,1
03a487e6-2c5b-4484-acc0-5d541f92afc8,2020-03-02,69,Female,Port Briannabury,,1,447,354.61,158510.67,7,1
4d38bf83-6d07-4ac9-8eee-121b2f63ae39,2021-10-14,62,Male,West Melissa,loan,9,76,832.82,63294.32,8,1
7312b795-441e-47f6-87ef-9c9d225fe9f3,2021-09-24,28,,New Jennifer,loan,5,230,619.41,142464.3,10,0
0d081eaa-9dce-4cea-b7d5-cc9c3877ccce,2021-10-11,23,,Lake Lori,checking,18,23,408.44,9394.12,9,0
b2dc33b6-cb1d-486b-8430-395b56b6fa8e,2021-02-26,36,Female,Joshuaview,checking,21,362,74.62,27012.44,10,0
dafa2a65-5cbb-4b52-8b4a-ba9c2c186ee5,2022-12-30,33,Male,Matthewburgh,savings,19,36,758.59,27309.24,0,0
e908a41a-4b56-418d-97ac-528f64b560cf,2023-02-26,50,,Fredstad,loan,23,128,129.01,16513.28,6,1
8faab2fa-5dd8-49eb-9338-367a8c4f4ba6,2023-06-05,56,Female,Richardsonview,checking,15,241,774.92,186755.72,8,1
ce3f1223-efbd-4dba-94cb-73cbb9d5c1b9,2025-02-05,64,Male,Lake Dawnmouth,checking,13,126,579.89,73066.14,4,0
10b518ce-bcbc-4e2d-803b-c38dd5f2e409,2020-07-01,26,Female,North Joseph,loan,26,303,172.69,52325.07,6,0
2c3acbfb-26d2-4fbc-b57d-ae5b0c66582b,2020-12-27,30,,Mccarthymouth,loan,1,287,676.97,194290.39,6,0
46bf81b3-ff38-4857-bc6c-071f7f61310c,2021-09-01,29,Male,South Jessica,,30,24,744.41,17865.84,3,1
fcabb171-5e79-4c5c-86f7-794af972dc52,2020-12-06,37,Male,West Brenda,checking,20,354,509.31,180295.74,8,1
43a48150-79ae-43a4-947c-4129c5345f46,2023-08-14,22,Female,East Rodney,loan,11,479,275.38,131907.02,10,0
ff62b76e-7944-45c0-8bfb-06ad0c0c8ca9,2025-04-06,23,Female,Lake Jacob,,3,177,273.72,48448.44,1,0
da27c0d9-a8b2-4577-8b95-9cd76c372781,2023-06-10,30,,Lake Michael,loan,3,262,905.43,237222.66,5,1
09e66f32-9cfa-4975-91cd-521ea20a72ee,2023-08-26,20,Female,Port Susan,savings,13,260,426.64,110926.4,9,0
61608078-bb41-453c-a74d-97dd339d7a3c,2023-03-26,49,Male,Lake John,loan,10,148,232.29,34378.92,1,1
c57921c7-eb5c-40e5-b7c7-ebafbe94d740,2020-12-05,32,Male,Tammyberg,savings,2,444,191.94,85221.36,3,0
0a270892-a9f5-49fd-b132-c070619d47c7,2022-09-03,38,,New Jasonview,,30,94,716.52,67352.88,9,0
3c5d82fb-f051-4051-b2b0-1acebe0db907,2021-11-07,70,Female,East Tammy,loan,22,322,611.67,196957.74,1,0
403ee66a-3632-49d0-9083-062c0457b2b0,2024-07-05,66,Male,Lake Haleyview,checking,4,500,315.68,157840.0,2,0
a3064e70-d8c0-4497-a6dd-f462fe42c48b,2020-05-09,56,,Tuckerton,loan,29,99,439.98,43558.02,3,1
b500c63b-d59e-4776-aa8b-eee6dc7719e5,2024-02-20,47,Female,Robertland,loan,10,394,208.0,81952.0,9,0
2b4d4350-e9ff-47e6-9fdf-87029592273f,2025-07-07,41,Female,Port Robert,checking,28,434,722.57,313595.38,1,1
50ac57be-1404-4fe3-99a6-8e3990e1f2d6,2022-01-19,27,,Clementschester,savings,22,321,103.58,33249.18,2,1
34bee771-5a26-4624-9426-ceb2d60d22c3,2021-08-15,51,,Lake Samuel,loan,2,53,275.29,14590.37,6,0
67af142b-7ef9-4ac2-a59d-a787c28d5fa1,2022-06-02,28,,West Andrew,loan,7,60,784.71,47082.6,5,1
7cf26421-1d04-4693-a149-17bcd5fa9ba4,2022-10-10,70,,Thomasville,checking,21,22,739.25,16263.5,1,0
7a267b4e-a4c4-4d83-a015-5e5d59926a59,2020-12-28,47,Female,Hunterchester,,20,391,502.83,196606.53,10,1
5d5cf287-f6c8-46a5-b25f-f14831e2a5cc,2020-11-19,67,,New Allenhaven,,21,191,424.92,81159.72,0,0
4a5f1389-1ec6-4e17-8117-fbfba83ee90b,2025-04-13,50,Female,Port Angela,savings,5,438,883.41,386933.58,0,0
36b3faf0-6820-4601-924b-dfd77e02068a,2025-06-16,60,Male,Barnesfurt,loan,27,30,868.6,26058.0,8,0
35993519-7e08-470a-8ec3-15c9b99e165f,2023-06-06,67,Female,Lopezmouth,savings,25,17,288.45,4903.65,0,0
2521e0bc-f0d4-474b-a491-3ae1e79261ac,2023-09-27,54,Female,Robertland,savings,23,171,688.13,117670.23,8,0
b6d40678-9477-48ee-b526-8a7e357307fe,2021-09-03,65,Male,Justinfort,loan,10,35,174.8,6118.0,6,1
e01ce236-1587-40dd-99b3-e43bcad1ff51,2023-01-27,65,,North Jessica,checking,5,229,905.33,207320.57,2,0
1209b189-80bf-4d67-a1ad-e3e2189ec511,2021-09-05,22,Male,North Neilbury,,6,379,614.92,233054.68,4,0
aa715a75-6572-4b6c-9d0b-1c0237c1f642,2024-06-14,67,Male,Smithstad,checking,27,336,55.03,18490.08,7,1
9fbba380-22d0-4ae6-abe6-a86ad4b44df5,2025-01-03,47,,Port Lynnhaven,loan,19,207,203.42,42107.94,1,1
a2a9ec28-5cd6-49d0-a903-e3a72af7292a,2024-09-25,42,Male,Youngchester,savings,14,347,595.66,206694.02,8,0
03730cb5-83f3-45e1-82b4-3e9ff2579530,2023-11-28,70,,Clarkview,savings,19,29,341.88,9914.52,2,0
ca2d5b09-c49a-49ae-b450-2ebbd45e4dae,2020-10-04,66,Male,Luismouth,checking,7,500,218.79,109395.0,6,0
13025954-a9c9-4361-b2dc-f3721c8aeaea,2024-01-27,61,Male,West Nicolestad,checking,23,85,683.92,58133.2,3,0
df24c91b-daaa-4f42-9ecd-e8d78320ff07,2024-11-09,36,Female,Cunninghamtown,loan,4,287,127.73,36658.51,10,0
fc6b8d04-427c-4e41-aa44-ce01e5636c62,2025-06-12,67,Female,Richardtown,,15,146,21.24,3101.04,6,1
51c0c558-8803-48a4-b805-c328e853cd6f,2020-01-26,33,Male,Port Scott,,8,98,198.21,19424.58,2,0
b4894a41-2bf7-4b6b-bacb-8a8c37b4f899,2024-09-19,26,Male,Jasontown,,14,432,682.0,294624.0,4,1
1dbe9d35-fd0c-4226-93fc-919d226e6a86,2022-02-28,36,,East Brandon,checking,25,453,188.59,85431.27,1,0
76a18526-768f-4e7c-8b9d-507b009378e1,2020-09-22,23,Female,Carterfort,checking,3,183,849.67,155489.61,3,1
766e3d2b-305e-4921-b754-927bef38d26d,2021-10-27,58,Female,New Andrea,,4,486,390.68,189870.48,0,1
00c848dd-5638-4840-af03-3ac0ba2fc40e,2022-05-19,63,Male,Port Christina,loan,6,15,348.92,5233.8,9,0
fca224f1-222a-460b-b4cf-90a8b2c308ab,2022-11-13,26,Male,Williamsview,,4,243,27.46,6672.78,6,0
50430c7c-aa79-477f-8651-75d5083666bc,2022-09-03,38,,Lake Deanna,,15,471,933.91,439871.61,6,1
8c78aa9b-3cc4-4c83-8731-89b74ea0d576,2024-08-14,19,Female,Nathanborough,checking,10,165,160.97,26560.05,9,1
ed0dc8be-ae0f-4918-9706-83231bbce344,2023-03-26,36,,North Jasminechester,checking,17,54,56.18,3033.72,6,0
9a2e2da6-4d03-4cf3-8b9a-6981259678a9,2025-06-05,63,Female,Powellview,checking,30,403,447.13,180193.39,1,1
cf4acb21-367e-4887-beb9-2d7c0fa8c3b7,2024-06-19,49,Male,North Ashley,savings,22,138,777.99,107362.62,5,0
05d0f8a9-a413-4b41-b016-60dc3b92740f,2020-12-05,19,Male,New Brentberg,savings,17,271,354.48,96064.08,4,0
469e197e-7560-41ae-b183-4d4f1c67c3b1,2024-06-14,55,Female,Rosalestown,savings,25,468,566.91,265313.88,5,1
