age,gender,location,account_type,login_frequency,transaction_count,avg_transaction_amount,total_spent,customer_service_interaction_count,churn,registration_date_year,registration_date_month,registration_date_day
53,female,charlesville,savings,15,182,406.18,73924.76,0,0,2021,8,13
40,male,new scott,savings,26,69,734.02,50647.38,4,0,2021,7,22
68,female,josephfort,savings,16,273,567.67,154973.91,1,0,2023,11,27
31,male,linland,savings,8,34,212.31,7218.54,1,0,2022,6,23
20,male,north lindamouth,checking,5,468,754.4,353059.2,8,0,2023,12,3
36,female,darrellshire,checking,20,35,283.09,9908.15,5,1,2020,2,16
29,male,thompsonchester,savings,24,474,850.18,402985.32,8,0,2025,4,14
29,female,lake melody,checking,16,83,774.45,64279.35,0,0,2024,7,13
18,female,michaelshire,savings,20,366,340.94,124784.04,3,1,2021,10,19
31,female,jonathanfort,loan,14,111,487.73,54138.03,3,0,2021,11,10
63,female,new timothy,checking,21,261,607.73,158617.53,1,0,2022,12,11
65,female,ryanberg,checking,8,311,653.07,203104.77,7,0,2021,12,6
58,male,new dennischester,loan,9,250,927.76,231940.0,4,0,2025,5,9
45,female,cameronburgh,savings,12,281,551.34,154926.54,5,0,2024,6,24
57,female,east thomas,loan,24,472,756.1,356879.2,6,1,2021,10,29
69,female,port briannabury,savings,1,447,354.61,158510.67,7,1,2020,3,2
62,male,west melissa,loan,9,76,832.82,63294.32,8,1,2021,10,14
28,female,new jennifer,loan,5,230,619.41,142464.3,10,0,2021,9,24
23,female,lake lori,checking,18,23,408.44,9394.12,9,0,2021,10,11
36,female,joshuaview,checking,21,362,74.62,27012.44,10,0,2021,2,26
33,male,matthewburgh,savings,19,36,758.59,27309.24,0,0,2022,12,30
50,female,fredstad,loan,23,128,129.01,16513.28,6,1,2023,2,26
56,female,richardsonview,checking,15,241,774.92,186755.72,8,1,2023,6,5
64,male,lake dawnmouth,checking,13,126,579.89,73066.14,4,0,2025,2,5
26,female,north joseph,loan,26,303,172.69,52325.07,6,0,2020,7,1
30,female,mccarthymouth,loan,1,287,676.97,194290.39,6,0,2020,12,27
29,male,south jessica,savings,30,24,744.41,17865.84,3,1,2021,9,1
37,male,west brenda,checking,20,354,509.31,180295.74,8,1,2020,12,6
22,female,east rodney,loan,11,479,275.38,131907.02,10,0,2023,8,14
23,female,lake jacob,savings,3,177,273.72,48448.44,1,0,2025,4,6
30,female,lake michael,loan,3,262,905.43,237222.66,5,1,2023,6,10
20,female,port susan,savings,13,260,426.64,110926.4,9,0,2023,8,26
49,male,lake john,loan,10,148,232.29,34378.92,1,1,2023,3,26
32,male,tammyberg,savings,2,444,191.94,85221.36,3,0,2020,12,5
38,female,new jasonview,savings,30,94,716.52,67352.88,9,0,2022,9,3
70,female,east tammy,loan,22,322,611.67,196957.74,1,0,2021,11,7
66,male,lake haleyview,checking,4,500,315.68,157840.0,2,0,2024,7,5
56,female,tuckerton,loan,29,99,439.98,43558.02,3,1,2020,5,9
47,female,robertland,loan,10,394,208.0,81952.0,9,0,2024,2,20
41,female,port robert,checking,28,434,722.57,313595.38,1,1,2025,7,7
27,female,clementschester,savings,22,321,103.58,33249.18,2,1,2022,1,19
51,female,lake samuel,loan,2,53,275.29,14590.37,6,0,2021,8,15
28,female,west andrew,loan,7,60,784.71,47082.6,5,1,2022,6,2
70,female,thomasville,checking,21,22,739.25,16263.5,1,0,2022,10,10
47,female,hunterchester,savings,20,391,502.83,196606.53,10,1,2020,12,28
67,female,new allenhaven,savings,21,191,424.92,81159.72,0,0,2020,11,19
50,female,port angela,savings,5,438,883.41,386933.58,0,0,2025,4,13
60,male,barnesfurt,loan,27,30,868.6,26058.0,8,0,2025,6,16
67,female,lopezmouth,savings,25,17,288.45,4903.65,0,0,2023,6,6
54,female,robertland,savings,23,171,688.13,117670.23,8,0,2023,9,27
65,male,justinfort,loan,10,35,174.8,6118.0,6,1,2021,9,3
65,female,north jessica,checking,5,229,905.33,207320.57,2,0,2023,1,27
22,male,north neilbury,savings,6,379,614.92,233054.68,4,0,2021,9,5
67,male,smithstad,checking,27,336,55.03,18490.08,7,1,2024,6,14
47,female,port lynnhaven,loan,19,207,203.42,42107.94,1,1,2025,1,3
42,male,youngchester,savings,14,347,595.66,206694.02,8,0,2024,9,25
70,female,clarkview,savings,19,29,341.88,9914.52,2,0,2023,11,28
66,male,luismouth,checking,7,500,218.79,109395.0,6,0,2020,10,4
61,male,west nicolestad,checking,23,85,683.92,58133.2,3,0,2024,1,27
36,female,cunninghamtown,loan,4,287,127.73,36658.51,10,0,2024,11,9
67,female,richardtown,savings,15,146,21.24,3101.04,6,1,2025,6,12
33,male,port scott,savings,8,98,198.21,19424.58,2,0,2020,1,26
26,male,jasontown,savings,14,432,682.0,294624.0,4,1,2024,9,19
36,female,east brandon,checking,25,453,188.59,85431.27,1,0,2022,2,28
23,female,carterfort,checking,3,183,849.67,155489.61,3,1,2020,9,22
58,female,new andrea,savings,4,486,390.68,189870.48,0,1,2021,10,27
63,male,port christina,loan,6,15,348.92,5233.8,9,0,2022,5,19
26,male,williamsview,savings,4,243,27.46,6672.78,6,0,2022,11,13
38,female,lake deanna,savings,15,471,933.91,439871.61,6,1,2022,9,3
19,female,nathanborough,checking,10,165,160.97,26560.05,9,1,2024,8,14
36,female,north jasminechester,checking,17,54,56.18,3033.72,6,0,2023,3,26
63,female,powellview,checking,30,403,447.13,180193.39,1,1,2025,6,5
49,male,north ashley,savings,22,138,777.99,107362.62,5,0,2024,6,19
19,male,new brentberg,savings,17,271,354.48,96064.08,4,0,2020,12,5
55,female,rosalestown,savings,25,468,566.91,265313.88,5,1,2024,6,14
20,female,west brandonport,loan,15,89,987.3,87869.7,6,0,2022,2,28
48,male,south christopher,savings,18,219,869.83,190492.77,0,0,2020,1,4
67,female,lake brandy,savings,25,33,205.7,6788.1,8,0,2024,7,13
59,female,west ryanchester,loan,8,187,502.8,94023.6,10,0,2025,7,14
46,female,port kenneth,checking,11,36,349.66,12587.76,1,0,2024,7,27
60,female,robbinsside,loan,7,160,185.77,29723.2,0,1,2023,3,29
25,female,abbottborough,savings,27,55,282.57,15541.35,6,1,2022,6,3
47,female,brucemouth,checking,21,435,627.07,272775.45,6,1,2025,6,1
21,female,clarkstad,savings,3,207,222.24,46003.68,10,1,2024,3,22
41,female,harveymouth,loan,22,211,855.0,180405.0,4,0,2022,5,7
40,female,port kathryn,checking,21,337,449.98,151643.26,9,1,2023,8,3
46,female,lake michele,savings,4,159,468.98,74567.82,6,0,2024,1,23
30,female,leton,savings,23,437,971.3,424458.1,5,0,2022,10,10
43,male,morganview,loan,12,22,794.34,17475.48,5,0,2020,2,27
20,male,east bryan,savings,28,265,99.65,26407.25,8,0,2020,7,3
59,male,hannahton,loan,8,401,251.22,100739.22,8,0,2020,4,20
22,male,amymouth,savings,20,481,450.46,216671.26,9,1,2024,2,2
63,female,garciafort,savings,20,472,43.72,20635.84,9,0,2022,1,3
33,female,south kimberlytown,savings,8,456,839.94,383012.64,5,1,2020,1,28
32,female,new spencerstad,checking,13,337,48.47,16334.39,7,1,2023,11,18
46,female,youngburgh,checking,3,90,645.17,58065.3,9,0,2020,6,17
66,male,west stephanie,loan,2,219,695.69,152356.11,7,0,2024,1,23
45,female,michaelside,savings,17,367,764.97,280743.99,8,0,2021,10,9
70,female,south jody,savings,7,31,101.69,3152.39,10,0,2021,4,21
57,male,west davidberg,savings,8,453,670.03,303523.59,8,1,2022,5,6
35,female,east whitney,loan,27,262,856.25,224337.5,2,0,2022,2,25
39,female,lake lorifurt,checking,6,255,804.0,205020.0,3,0,2023,1,28
33,male,shelbystad,loan,2,448,559.51,250660.48,10,0,2023,8,19
55,female,hernandezburgh,savings,9,441,627.98,276939.18,5,1,2023,4,18
56,female,east logan,checking,4,305,450.97,137545.85,4,1,2021,2,1
20,male,josephton,loan,2,422,532.2,224588.4,4,0,2020,8,15
64,female,mckinneyfurt,checking,26,85,144.04,12243.4,4,1,2025,1,9
25,female,west jonathanbury,savings,24,32,48.95,1566.4,10,1,2024,1,30
51,female,new kristineport,loan,3,435,152.06,66146.1,9,0,2024,3,23
51,female,hamiltonville,savings,9,42,171.9,7219.8,0,1,2025,4,13
61,male,ryanbury,savings,24,261,987.13,257640.93,7,0,2020,8,4
52,female,kruegerton,savings,28,59,539.24,31815.16,1,1,2024,12,26
21,female,new maria,savings,20,261,936.76,244494.36,8,1,2020,2,23
